courses,link,origin_site,profession,subscription,scope
Fundamentals of Biomedical Imaging: Magnetic Resonance Imaging (MRI),https://www.edx.org/course/fundamentals-of-biomedical-imaging-magnetic-resona,edx.org,"Bioinformaticist
Biological Engineer
Biotechnician",free,Physical Sciences
,,,"Bioinformaticist
Biological Engineer
Biotechnician",,Physical Sciences
Electricity and Magnetism: Magnetic Fields and Forces,https://www.edx.org/course/electricity-and-magnetism-magnetic-fields-and-forc,edx.org,Electrician/Electrical and Electronics Engineer,free,Physical Sciences
Electricity and Magnetism: Maxwell’s Equations,https://www.edx.org/course/electricity-and-magnetism-maxwells-equations,edx.org,Electrician/Electrical and Electronics Engineer,free,Physical Sciences
"Electricity and Magnetism, Part 1",https://www.edx.org/course/electricity-and-magnetism-part-1,edx.org,Electrician/Electrical and Electronics Engineer,free,Physical Sciences
"Electricity & Magnetism, Part 2",https://www.edx.org/course/electricity-magnetism-part-2,edx.org,Electrician/Electrical and Electronics Engineer,free,Physical Sciences
Electricity and Magnetism: Electrostatics,https://www.edx.org/course/electricity-and-magnetism-electrostatics,edx.org,Electrician/Electrical and Electronics Engineer,free,Physical Sciences
Preparing for the AP* Physics C: Electricity and Magnetism Exam,https://www.edx.org/course/preparing-for-the-ap-physics-c-electricity-and-mag,edx.org,Electrician/Electrical and Electronics Engineer,free,Physical Sciences
Physics: Intro to Electricity & Magnetism,https://www.udemy.com/course/physics-intro-to-electricity-magnetism/,udemy.com,Electrician/Electrical and Electronics Engineer,free,Physical Sciences
"Physics: Current electricity, Alternating Current and Atoms",https://www.udemy.com/course/physics-current-electricity-alternating-current-and-atoms/,udemy.com,Electrician/Electrical and Electronics Engineer,free,Physical Sciences
An Introduction to the Physics of DC Electric Motors,https://www.udemy.com/course/an-introduction-to-the-physics-of-dc-electric-motors/,udemy.com,Electrician/Electrical and Electronics Engineer,free,Physical Sciences
Class 12 Physics Chapter 1 Electric Charges and Fields,https://www.udemy.com/course/class-12-physics-chapter-1-electric-charges-and-fields/,udemy.com,Electrician/Electrical and Electronics Engineer,free,Physical Sciences
,,,Electrician/Electrical and Electronics Engineer,,Physical Sciences
Atomic and Optical Physics: Light Forces and Laser Cooling,https://www.edx.org/course/atomic-and-optical-physics-light-forces-and-laser,edx.org,atomic physicist,free,Physical Sciences
Atomic and Optical Physics: Ultracold Atoms and Many-body Physics,https://www.edx.org/course/atomic-and-optical-physics-ultracold-atoms-and-man,edx.org,atomic physicist,free,Physical Sciences
Atomic and Optical Physics I– Part 1: Resonance,https://www.edx.org/course/atomic-and-optical-physics-i-part-1-resonance,edx.org,atomic physicist,free,Physical Sciences
Atomic and Optical Physics I – Part 2: Atomic structure and atoms in external field,https://www.edx.org/course/atomic-and-optical-physics-i-part-2-atomic-structu,edx.org,atomic physicist,free,Physical Sciences
Atomic and Optical Physics I– Part 3: Atom-Light Interactions 1 -- Matrix elements and quantized field,https://www.edx.org/course/atomic-and-optical-physics-i-part-3-atom-light-int,edx.org,atomic physicist,free,Physical Sciences
Atomic and Optical Physics I– Part 4: Atom-Light Interactions 2: Line Broadening and Two-Photon Transitions,https://www.edx.org/course/atomic-and-optical-physics-i-part-4-atom-light-int,edx.org,atomic physicist,free,Physical Sciences
Atomic and Optical Physics I – Part 5: Coherence,https://www.edx.org/course/atomic-and-optical-physics-i-part-5-coherence,edx.org,atomic physicist,free,Physical Sciences
,,,atomic physicist,,Physical Sciences
AP Physics 1,https://www.edx.org/course/ap-physics-1,edx.org,Physicist/Ap Physics Teacher,free,Physical Sciences
AP® Physics 2: Challenging Concepts,https://www.edx.org/course/ap-physics-2-challenging-concepts,edx.org,Physicist/Ap Physics Teacher,free,Physical Sciences
AP® Physics 1: Challenging Concepts,https://www.edx.org/course/ap-physics-1-challenging-concepts,edx.org,Physicist/Ap Physics Teacher,free,Physical Sciences
AP® Physics 2 - Part 1: Fluids and Thermodynamics,https://www.edx.org/course/ap-physics-2-part-1-fluids-and-thermodynamics,edx.org,Physicist/Ap Physics Teacher,free,Physical Sciences
AP® Physics 2 - Part 2: Electricity and Magnetism,https://www.edx.org/course/ap-physics-2-part-2-electricity-and-magnetism,edx.org,Physicist/Ap Physics Teacher,free,Physical Sciences
AP® Physics 2 - Part 3: Optics and Modern Physics,https://www.edx.org/course/ap-physics-2-part-3-optics-and-modern-physics,edx.org,Physicist/Ap Physics Teacher,free,Physical Sciences
AP® Physics 2 – Part 4: AP Review and Exam Preparation,https://www.edx.org/course/ap-physics-2-part-4-ap-review-and-exam-preparation,edx.org,Physicist/Ap Physics Teacher,free,Physical Sciences
AP® Physics 1 - Part 1: Linear Motion,https://www.edx.org/course/ap-physics-1-part-1-linear-motion,edx.org,Physicist/Ap Physics Teacher,free,Physical Sciences
AP® Physics 1 - Part 2: Rotational Motion,https://www.edx.org/course/ap-physics-1-part-2-rotational-motion,edx.org,Physicist/Ap Physics Teacher,free,Physical Sciences
AP® Physics 1 - Part 4: Exam Prep,https://www.edx.org/course/ap-physics-1-part-4-exam-prep,edx.org,Physicist/Ap Physics Teacher,free,Physical Sciences
,,,Physicist/Ap Physics Teacher,,Physical Sciences
,,,Physicist/Ap Physics Teacher,,Physical Sciences
Introduction to Aerospace Structures and Materials,https://www.edx.org/course/introduction-to-aerospace-structures-and-materials,edx.org,Physicist/Ap Physics Teacher,free,Physical Sciences
Hypersonics – from Shock Waves to Scramjets,https://www.edx.org/course/hypersonics-from-shock-waves-to-scramjets-2,edx.org,Physicist/Ap Physics Teacher,free,Physical Sciences
Principle of Semiconductor Devices Part II: Field Effect Transistors and MOSFETs,https://www.edx.org/course/principle-of-semiconductor-devices-part-ii-field-e,edx.org,Physicist/Ap Physics Teacher,free,Physical Sciences
Introduction to the Theory of Ferromagnetism,https://www.edx.org/course/introduction-to-the-theory-of-ferromagnetism,edx.org,Physicist/Ap Physics Teacher,free,Physical Sciences
Vibrations and Waves,https://www.edx.org/course/vibrations-and-waves,edx.org,Physicist/Ap Physics Teacher,free,Physical Sciences
Plasmonics: From Fundamentals to Modern Applications,https://www.edx.org/course/plasmonics-from-fundamentals-to-modern-application,edx.org,Physicist/Ap Physics Teacher,free,Physical Sciences
The Basics of Transport Phenomena,https://www.edx.org/course/the-basics-of-transport-phenomena,edx.org,Physicist/Ap Physics Teacher,free,Physical Sciences
Advanced Transport Phenomena,https://www.edx.org/course/advanced-transport-phenomena-2,edx.org,Physicist/Ap Physics Teacher,free,Physical Sciences
Surface Science: Methods of Surface Analysis,https://www.edx.org/course/surface-science-methods-of-surface-analysis,edx.org,Physicist/Ap Physics Teacher,free,Physical Sciences
Analysis of Transport Phenomena II: Applications,https://www.edx.org/course/analysis-of-transport-phenomena-ii-applications,edx.org,Physicist/Ap Physics Teacher,free,Physical Sciences
Preparing for the AP Physics 1 Exam,https://www.edx.org/course/preparing-for-the-ap-physics-1-exam,edx.org,Physicist/Ap Physics Teacher,free,Physical Sciences
"How Stuff Moves, Part 1: Linear Motion",https://www.edx.org/course/how-stuff-moves-part-1-linear-motion,edx.org,Physicist/Ap Physics Teacher,free,Physical Sciences
"How Stuff Moves, Part 3: Wave Motion",https://www.edx.org/course/how-stuff-moves-part-3-wave-motion,edx.org,Physicist/Ap Physics Teacher,free,Physical Sciences
Hyperloop: Changing the Future of Transportation,https://www.edx.org/course/hyperloop-changing-the-future-of-transportation,edx.org,Physicist/Ap Physics Teacher,free,Physical Sciences
Complex Analysis with Physical Applications,https://www.edx.org/course/complex-analysis-with-physical-applications,edx.org,Physicist/Ap Physics Teacher,free,Physical Sciences
Introduction to Continuum Physics,https://www.edx.org/course/introduction-to-continuum-physics,edx.org,Physicist/Ap Physics Teacher,free,Physical Sciences
Analysis of Transport Phenomena I: Mathematical Methods,https://www.edx.org/course/analysis-of-transport-phenomena-i-mathematical-met,edx.org,Physicist/Ap Physics Teacher,free,Physical Sciences
Waves & Optics,https://www.edx.org/course/waves-optics,edx.org,Physicist/Ap Physics Teacher,free,Physical Sciences
